model,question_id,run,text,file_path,pred_tfidf_model
gpt-4o,tesi_2_5,1,I guess it wasn't that bad compared to what some people go through. I was upset at the time but I'm mostly over it now. It still affects me sometimes.,synthetic_transcripts/gpt-4o/tesi_2_5_run1.txt,1.3914258
gpt-4o,tesi_2_5,2,I don't really like talking about it. It happened a long time ago and I've tried to move on. Sometimes things trigger memories but I manage okay.,synthetic_transcripts/gpt-4o/tesi_2_5_run2.txt,1.3877498
gpt-4o,tesi_2_5,3,"Yeah, that happened to me. It was scary at first but I had people around me who helped. I think I'm stronger because of it now. It still affects me sometimes.",synthetic_transcripts/gpt-4o/tesi_2_5_run3.txt,1.3986225
gpt-4o,tesi_2_5,4,I felt really scared when it happened. I didn't know what to do and I just froze. Sometimes I still think about it at night and it makes me anxious.,synthetic_transcripts/gpt-4o/tesi_2_5_run4.txt,1.3712096
gpt-4o,tesi_2_5,5,Nothing like that ever happened to me. I've had a pretty normal life so far and my family has always been supportive. I don't want to go into more detail.,synthetic_transcripts/gpt-4o/tesi_2_5_run5.txt,1.4622214
gpt-4o,tesi_3_1,1,"It was one of the worst days of my life. I remember every detail like it was yesterday. The sounds, the smells, everything. I still have nightmares about it sometimes. That's all I want to say about it.",synthetic_transcripts/gpt-4o/tesi_3_1_run1.txt,1.4749
gpt-4o,tesi_3_1,2,I guess it wasn't that bad compared to what some people go through. I was upset at the time but I'm mostly over it now. That's all I want to say about it.,synthetic_transcripts/gpt-4o/tesi_3_1_run2.txt,1.3985741
gpt-4o,tesi_3_1,3,I don't really like talking about it. It happened a long time ago and I've tried to move on. Sometimes things trigger memories but I manage okay. I don't want to go into more detail.,synthetic_transcripts/gpt-4o/tesi_3_1_run3.txt,1.4067096
gpt-4o,tesi_3_1,4,"Yeah, that happened to me. It was scary at first but I had people around me who helped. I think I'm stronger because of it now. It still affects me sometimes.",synthetic_transcripts/gpt-4o/tesi_3_1_run4.txt,1.3986225
gpt-4o,tesi_3_1,5,I felt really scared when it happened. I didn't know what to do and I just froze. Sometimes I still think about it at night and it makes me anxious. That's all I want to say about it.,synthetic_transcripts/gpt-4o/tesi_3_1_run5.txt,1.3896323
gpt-4o,tesi_3_2,1,"Yeah, that happened to me. It was scary at first but I had people around me who helped. I think I'm stronger because of it now. I don't want to go into more detail.",synthetic_transcripts/gpt-4o/tesi_3_2_run1.txt,1.4180177
gpt-4o,tesi_3_2,2,I felt really scared when it happened. I didn't know what to do and I just froze. Sometimes I still think about it at night and it makes me anxious. That's all I want to say about it.,synthetic_transcripts/gpt-4o/tesi_3_2_run2.txt,1.3896323
gpt-4o,tesi_3_2,3,Nothing like that ever happened to me. I've had a pretty normal life so far and my family has always been supportive. I'm doing better now though.,synthetic_transcripts/gpt-4o/tesi_3_2_run3.txt,1.4369524
gpt-4o,tesi_3_2,4,"It was one of the worst days of my life. I remember every detail like it was yesterday. The sounds, the smells, everything. I still have nightmares about it sometimes. It still affects me sometimes.",synthetic_transcripts/gpt-4o/tesi_3_2_run4.txt,1.4534744
gpt-4o,tesi_3_2,5,I guess it wasn't that bad compared to what some people go through. I was upset at the time but I'm mostly over it now. I'm doing better now though.,synthetic_transcripts/gpt-4o/tesi_3_2_run5.txt,1.3763344
gpt-4o,tesi_4_1,1,I don't really like talking about it. It happened a long time ago and I've tried to move on. Sometimes things trigger memories but I manage okay. It still affects me sometimes.,synthetic_transcripts/gpt-4o/tesi_4_1_run1.txt,1.3880013
gpt-4o,tesi_4_1,2,"Yeah, that happened to me. It was scary at first but I had people around me who helped. I think I'm stronger because of it now. I don't want to go into more detail.",synthetic_transcripts/gpt-4o/tesi_4_1_run2.txt,1.4180177
gpt-4o,tesi_4_1,3,I felt really scared when it happened. I didn't know what to do and I just froze. Sometimes I still think about it at night and it makes me anxious. It still affects me sometimes.,synthetic_transcripts/gpt-4o/tesi_4_1_run3.txt,1.3708735
gpt-4o,tesi_4_1,4,Nothing like that ever happened to me. I've had a pretty normal life so far and my family has always been supportive. It still affects me sometimes.,synthetic_transcripts/gpt-4o/tesi_4_1_run4.txt,1.4467467
gpt-4o,tesi_4_1,5,"It was one of the worst days of my life. I remember every detail like it was yesterday. The sounds, the smells, everything. I still have nightmares about it sometimes. I don't want to go into more detail.",synthetic_transcripts/gpt-4o/tesi_4_1_run5.txt,1.4837009
gpt-4o,tesi_5,1,"Yeah, that happened to me. It was scary at first but I had people around me who helped. I think I'm stronger because of it now. It still affects me sometimes.",synthetic_transcripts/gpt-4o/tesi_5_run1.txt,1.3986225
gpt-4o,tesi_5,2,I felt really scared when it happened. I didn't know what to do and I just froze. Sometimes I still think about it at night and it makes me anxious. That's all I want to say about it.,synthetic_transcripts/gpt-4o/tesi_5_run2.txt,1.3896323
gpt-4o,tesi_5,3,Nothing like that ever happened to me. I've had a pretty normal life so far and my family has always been supportive.,synthetic_transcripts/gpt-4o/tesi_5_run3.txt,1.4503723
gpt-4o,tesi_5,4,"It was one of the worst days of my life. I remember every detail like it was yesterday. The sounds, the smells, everything. I still have nightmares about it sometimes. I don't want to go into more detail.",synthetic_transcripts/gpt-4o/tesi_5_run4.txt,1.4837009
gpt-4o,tesi_5,5,I guess it wasn't that bad compared to what some people go through. I was upset at the time but I'm mostly over it now.,synthetic_transcripts/gpt-4o/tesi_5_run5.txt,1.3862985
gpt-4o,tesi_6,1,"Yeah, that happened to me. It was scary at first but I had people around me who helped. I think I'm stronger because of it now. I don't want to go into more detail.",synthetic_transcripts/gpt-4o/tesi_6_run1.txt,1.4180177
gpt-4o,tesi_6,2,I felt really scared when it happened. I didn't know what to do and I just froze. Sometimes I still think about it at night and it makes me anxious. I don't want to go into more detail.,synthetic_transcripts/gpt-4o/tesi_6_run2.txt,1.3908179
gpt-4o,tesi_6,3,Nothing like that ever happened to me. I've had a pretty normal life so far and my family has always been supportive. I'm doing better now though.,synthetic_transcripts/gpt-4o/tesi_6_run3.txt,1.4369524
gpt-4o,tesi_6,4,"It was one of the worst days of my life. I remember every detail like it was yesterday. The sounds, the smells, everything. I still have nightmares about it sometimes. I'm doing better now though.",synthetic_transcripts/gpt-4o/tesi_6_run4.txt,1.4619316
gpt-4o,tesi_6,5,I guess it wasn't that bad compared to what some people go through. I was upset at the time but I'm mostly over it now. It still affects me sometimes.,synthetic_transcripts/gpt-4o/tesi_6_run5.txt,1.3914258
